Stock,Investment_Method,Confidence,Calculated_Investment,Basic_Investment
,5,0.55,10145.98,12867.03
,5,0.6,11040.64,12867.03
,5,0.65,10791.79,12867.03
,5,0.7,10687.25,12867.03
,6,0.3,13857.67,12867.03
,6,0.35,14213.97,12867.03
,6,0.4,14883.8,12867.03
,6,0.45,17640.11,12867.03
,6,0.5,20177.31,12867.03
,6,0.55,13116.62,12867.03
,6,0.6,10490.47,12867.03
,6,0.65,10863.43,12867.03
,6,0.7,11084.78,12867.03
,7,0.3,10481.63,12867.03
,7,0.35,10255.87,12867.03
,7,0.4,9652.12,12867.03
,7,0.45,8224.67,12867.03
,7,0.5,7658.84,12867.03
,7,0.55,11580.6,12867.03
,7,0.6,13875.96,12867.03
,7,0.65,13249.82,12867.03
,7,0.7,12972.68,12867.03
,8,,10002.12,12867.03
,9,,10003.33,12867.03
,1,,10636.24,11199.93
,2,,11199.93,11199.93
,3,,9273.6,11199.93
,4,0.3,11207.5,11199.93
,4,0.35,11248.12,11199.93
,4,0.4,11362.42,11199.93
,4,0.45,11629.29,11199.93
,4,0.5,11724.43,11199.93
,4,0.55,10982.42,11199.93
,4,0.6,10926.61,11199.93
,4,0.65,10714.8,11199.93
,4,0.7,10638.71,11199.93
,5,0.3,9268.21,11199.93
,5,0.35,9242.62,11199.93
,5,0.4,9157.75,11199.93
,5,0.45,8957.04,11199.93
,5,0.5,8945.0,11199.93
,5,0.55,10032.17,11199.93
,5,0.6,10351.46,11199.93
,5,0.65,10561.3,11199.93
,5,0.7,10634.36,11199.93
,6,0.3,11215.37,11199.93
,6,0.35,11298.25,11199.93
,6,0.4,11531.52,11199.93
,6,0.45,12082.47,11199.93
,6,0.5,12181.57,11199.93
,6,0.55,10111.7,11199.93
,6,0.6,9805.08,11199.93
,6,0.65,9425.72,11199.93
,6,0.7,9278.89,11199.93
,7,0.3,9263.03,11199.93
,7,0.35,9212.73,11199.93
,7,0.4,9046.03,11199.93
,7,0.45,8656.44,11199.93
,7,0.5,8568.35,11199.93
,7,0.55,10203.44,11199.93
,7,0.6,10626.31,11199.93
,7,0.65,11057.19,11199.93
,7,0.7,11196.99,11199.93
,8,,9999.78,11199.93
,9,,10000.88,11199.93
